Time_index,Demand-base,Demand-1,Demand-2
1,12107.07556,9080.30667,15133.84445
2,11090.53633,8317.902248,13863.17041
3,10490.87144,7868.15358,13113.5893
4,10153.2685,7614.951375,12691.58563
5,9978.871399,7484.153549,12473.58925
6,10124.35775,7593.268313,12655.44719
7,10675.52719,8006.645393,13344.40899
8,11992.36517,8994.273878,14990.45646
9,13418.31792,10063.73844,16772.8974
10,14289.3708,10717.0281,17861.7135
11,14868.51839,11151.38879,18585.64799
12,15393.57489,11545.18117,19241.96861
13,15682.68238,11762.01179,19603.35298
14,15818.84268,11864.13201,19773.55335
15,15922.36181,11941.77136,19902.95226
16,15865.47292,11899.10469,19831.84115
17,15712.52573,11784.3943,19640.65716
18,15630.45651,11722.84238,19538.07064
19,15493.3636,11620.0227,19366.7045
20,15145.50201,11359.12651,18931.87751
21,14815.35991,11111.51993,18519.19989
22,14822.82075,11117.11556,18528.52594
23,14371.44002,10778.58002,17964.30003
24,13058.33246,9793.749345,16322.91558
25,15279.7971,11459.84783,19099.74638
26,14153.2105,10614.90788,17691.51313
27,13388.47456,10041.35592,16735.5932
28,12866.21587,9649.661903,16082.76984
29,12578.04099,9433.530743,15722.55124
30,12466.12841,9349.596308,15582.66051
31,12563.11931,9422.339483,15703.89914
32,12759.89892,9569.92419,15949.87365
33,13429.50917,10072.13188,16786.88646
34,14520.65679,10890.49259,18150.82099
35,15665.89549,11749.42162,19582.36936
36,16670.31087,12502.73315,20837.88859
37,17458.36193,13093.77145,21822.95241
38,18061.75723,13546.31792,22577.19654
39,18442.25999,13831.69499,23052.82499
40,18780.79554,14085.59666,23475.99443
41,19087.62252,14315.71689,23859.52815
42,19323.57153,14492.67865,24154.46441
43,19368.33656,14526.25242,24210.4207
44,19074.56605,14305.92454,23843.20756
45,18649.29826,13986.9737,23311.62283
46,18732.30009,14049.22507,23415.37511
47,17850.98855,13388.24141,22313.73569
48,16342.03398,12256.52549,20427.54248
49,11628.6493,8721.486975,14535.81163
50,10572.94066,7929.705495,13216.17583
51,10032.02987,7524.022403,12540.03734
52,9757.844061,7318.383046,12197.30508
53,9703.752982,7277.814737,12129.69123
54,10026.43424,7519.82568,12533.0428
55,11084.00809,8313.006068,13855.01011
56,13061.13028,9795.84771,16326.41285
57,14291.23601,10718.42701,17864.04501
58,14559.8262,10919.86965,18199.78275
59,14622.31072,10966.73304,18277.8884
60,14627.90635,10970.92976,18284.88294
61,14589.66955,10942.25216,18237.08694
62,14446.98101,10835.23576,18058.72626
63,14419.93547,10814.9516,18024.91934
64,14368.64221,10776.48166,17960.80276
65,14603.65862,10952.74397,18254.57328
66,16042.66783,12032.00087,20053.33479
67,17205.62602,12904.21952,21507.03253
68,17174.85006,12881.13755,21468.56258
69,16838.17973,12628.6348,21047.72466
70,16250.6387,12187.97903,20313.29838
71,15205.18872,11403.89154,19006.4859
72,13695.30154,10271.47616,17119.12693
73,12709.53826,9532.153695,15886.92283
74,11843.1484,8882.3613,14803.9355
75,11313.42887,8485.071653,14141.78609
76,11037.37785,8278.033388,13796.72231
77,10923.60007,8192.700053,13654.50009
78,10991.68022,8243.760165,13739.60028
79,11308.76585,8481.574388,14135.95731
80,11837.55277,8878.164578,14796.94096
81,12384.05919,9288.044393,15480.07399
82,13203.81881,9902.864108,16504.77351
83,13903.27241,10427.45431,17379.09051
84,14362.11398,10771.58549,17952.64248
85,14660.54751,10995.41063,18325.68439
86,14786.44916,11089.83687,18483.06145
87,14666.14314,10999.60736,18332.67893
88,14543.03931,10907.27948,18178.79914
89,14679.19961,11009.39971,18348.99951
90,16010.02666,12007.52,20012.53333
91,17209.35644,12907.01733,21511.69555
92,17140.34369,12855.25777,21425.42961
93,16712.27808,12534.20856,20890.3476
94,16242.24526,12181.68395,20302.80658
95,15415.9574,11561.96805,19269.94675
96,14326.67499,10745.00624,17908.34374